Federal Provider Number,Provider Name,Provider State,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Location,Processing Date
175503,THE PLAZA HEALTH SERVICES AT SANTA MARTA,KS,5,,4,,5,,5,,5,,"13875 W 115TH TERRACE
OLATHE, KS 66062
(38.918299, -94.744611)",02/01/2017
155680,HOMEWOOD HEALTH CAMPUS,IN,4,,2,,5,,5,,5,,"2494 N LEBANON ST
LEBANON, IN 46052
(40.075105, -86.47479)",02/01/2017
165181,ROCK RAPIDS HEALTH CENTRE,IA,3,,2,,5,,3,,5,,"703 SOUTH UNION
ROCK RAPIDS, IA 51246
(43.424313, -96.175684)",02/01/2017
165356,VALLEY VIEW COMMUNITY,IA,2,,1,,5,,5,,5,,"108 SOUTH HIGH STREET
GREENE, IA 50636
(42.891247, -92.807509)",02/01/2017
165473,SUNRISE RETIREMENT COMMUNITY,IA,2,,2,,1,,5,,5,,"5501 GORDON DRIVE EAST
SIOUX CITY, IA 51106
(42.475702, -96.332579)",02/01/2017
155778,PARKVIEW HEALTHCARE,IN,3,,3,,4,,2,,1,,"1212 E MAIN
ATTICA, IN 47918
(40.285639, -87.234229)",02/01/2017
155516,PARKVIEW MEMORIAL HOSPITAL-CCC,IN,5,,5,,2,,5,,5,,"2200 RANDALLIA DR
FORT WAYNE, IN 46805
(41.095899, -85.111535)",02/01/2017
165344,GOWRIE CARE CENTER LLC,IA,2,,2,,2,,,Data Not Available,,Data Not Available,"1808 MAIN STREET
GOWRIE, IA 50543
(42.282491, -94.299802)",02/01/2017
165222,CORYDON SPECIALTY CARE,IA,3,,3,,5,,1,,1,,"745 EAST SOUTH STREET
CORYDON, IA 50060
(40.753549, -93.310473)",02/01/2017
155821,ASPEN TRACE HEALTH & LIVING COMMUNITY,IN,4,,4,,4,,3,,3,,"3154 SOUTH STATE ROAD
GREENWOOD, IN 46143
(39.569432, -86.24539)",02/01/2017
175494,LINN COMMUNITY NURSING HOME,KS,5,,5,,5,,3,,3,,"612 THIRD ST
LINN, KS 66953
(39.680478, -97.088976)",02/01/2017
165426,PERRY HEALTH CARE CENTER,IA,2,,1,,2,,5,,5,,"2625 IOWA STREET
PERRY, IA 50220
(41.83488, -94.085032)",02/01/2017
165224,MOUNT AYR HEALTH CARE CENTER,IA,4,,4,,3,,2,,3,,"1504 EAST SOUTH STREET
MOUNT AYR, IA 50854
(40.711002, -94.262847)",02/01/2017
175528,BETHEL HOME,KS,5,,5,,5,,5,,5,,"300 S AZTEC ST
MONTEZUMA, KS 67867
(37.593491, -100.442818)",02/01/2017
155694,BETZ NURSING HOME,IN,5,,4,,5,,2,,4,,"116 BETZ RD
AUBURN, IN 46706
(41.389083, -85.052323)",02/01/2017
165307,COUNTRY VIEW,IA,3,,2,,5,,3,,2,,"1410 WEST DUNKERTON ROAD
WATERLOO, IA 50703
(42.570659, -92.365441)",02/01/2017
155704,WALDRON HEALTH AND REHAB CENTER,IN,4,,3,,5,,2,,3,,"505 N MAIN ST
WALDRON, IN 46182
(39.455367, -85.666979)",02/01/2017
155758,ASBURY TOWERS HEALTH CARE CENTER,IN,1,,1,,1,,3,,3,,"102 W POPLAR ST
GREENCASTLE, IN 46135
(39.642552, -86.865444)",02/01/2017
165550,SOLON NURSING CARE CENTER,IA,3,,3,,4,,3,,4,,"523 EAST FIFTH STREET
SOLON, IA 52333
(41.802097, -91.489661)",02/01/2017
165146,KAHL HOME FOR THE AGED & INFIRMED,IA,2,,1,,3,,4,,4,,"6701 JERSEY RIDGE ROAD
DAVENPORT, IA 52807
(41.590295, -90.539313)",02/01/2017
155606,WESTSIDE RETIREMENT VILLAGE,IN,4,,3,,5,,2,,1,,"8616 W 10TH ST
INDIANAPOLIS, IN 46234
(39.778868, -86.313371)",02/01/2017
155768,EVANSVILLE PROTESTANT HOME INC,IN,4,,4,,4,,4,,4,,"3701 WASHINGTON AVE
EVANSVILLE, IN 47714
(37.962406, -87.505231)",02/01/2017
165202,UNION PARK HEALTH SERVICES,IA,1,,1,,2,,2,,4,,"2401 EAST EIGHTH STREET
DES MOINES, IA 50316
(41.616693, -93.607968)",02/01/2017
175191,STONEYBROOK RETIREMENT COMMUNITY,KS,4,,3,,2,,4,,4,,"2025 LITTLE KITTEN AVE
MANHATTAN, KS 66503
(39.206387, -96.632268)",02/01/2017
175424,"LAKEPOINT AUGUSTA, LLC",KS,4,,4,,3,,4,,4,,"901 LAKEPOINT DRIVE
AUGUSTA, KS 67010
(37.702787, -96.968341)",02/01/2017
165397,HEARTLAND CARE CENTER,IA,5,,5,,3,,5,,5,,"604 EAST FENTON
MARCUS, IA 51035
(42.818976, -95.80045)",02/01/2017
155669,RIVERVIEW TCU,IN,4,,5,,1,,5,,5,,"395 WESTFIELD RD
NOBLESVILLE, IN 46060
(40.047026, -86.024081)",02/01/2017
165237,GOOD SAMARITAN SOCIETY - FONTANELLE,IA,2,,2,,4,,3,,5,,"326 SUMMERSET
FONTANELLE, IA 50846
(41.294717, -94.563778)",02/01/2017
165579,MAQUOKETA CARE CENTER,IA,5,,4,,5,,3,,4,,"1202 GERMAN STREET
MAQUOKETA, IA 52060
(42.071669, -90.680781)",02/01/2017
165387,PRIMGHAR REHAB & CARE CENTER,IA,2,,1,,5,,4,,4,,"735 NORTH RERICK
PRIMGHAR, IA 51245
(43.092995, -95.624261)",02/01/2017
155832,WITHAM EXTENDED CARE,IN,4,,4,,4,,4,,4,,"2605 N LEBANON STREET
LEBANON, IN 46052
(40.076856, -86.475197)",02/01/2017
165603,DENVER SUNSET HOME,IA,5,,4,,5,,4,,5,,"235 NORTH MILL STREET
DENVER, IA 50622
(42.674526, -92.335134)",02/01/2017
165197,CEDAR FALLS HEALTH CARE CENTER,IA,1,,1,,2,,3,,5,,"1728 WEST EIGHTH STREET
CEDAR FALLS, IA 50613
(42.531483, -92.466423)",02/01/2017
175264,MEDICALODGES COLUMBUS,KS,5,,5,,5,,5,,5,,"101 LEE AVENUE
COLUMBUS, KS 66725
(37.170991, -94.857827)",02/01/2017
155524,HEALTH CENTER AT GLENBURN HOME,IN,4,,4,,2,,3,,3,,"618 W GLENBURN ROAD
LINTON, IN 47441
(39.042914, -87.179472)",02/01/2017
155816,ARLINGTON PLACE HEALTH CAMPUS,IN,2,,2,,2,,3,,2,,"1635 N ARLINGTON AVE
INDIANAPOLIS, IN 46218
(39.789929, -86.064326)",02/01/2017
165554,COUNTRY VIEW MANOR INC,IA,3,,2,,2,,4,,4,,"100 CEDAR LANE
SIBLEY, IA 51249
(43.409628, -95.744499)",02/01/2017
155698,BETHANY POINTE HEALTH CAMPUS,IN,2,,1,,2,,5,,5,,"1707 BETHANY RD
ANDERSON, IN 46012
(40.138833, -85.66005)",02/01/2017
175406,PLEASANT VIEW HOME,KS,2,,1,,3,,5,,5,,"108 N WALNUT
INMAN, KS 67546
(38.232581, -97.77066)",02/01/2017
155505,ROBIN RUN HEALTH CENTER,IN,4,,2,,5,,4,,4,,"6370 ROBIN RUN W
INDIANAPOLIS, IN 46268
(39.870372, -86.253646)",02/01/2017
175452,"WOODLAWN CARE AND REHAB, LLC, DBA ORCHARD G",KS,1,,1,,4,,1,,2,,"1600 S WOODLAWN BLVD
WICHITA, KS 67218
(37.664157, -97.262146)",02/01/2017
175257,SHARON LANE HEALTH SERVICES,KS,5,,4,,2,,5,,5,,"10315 JOHNSON DR
SHAWNEE, KS 66203
(39.02232, -94.705737)",02/01/2017
165470,PLEASANTVIEW HOME,IA,5,,3,,5,,5,,5,,"811 THIRD STREET
KALONA, IA 52247
(41.490326, -91.708577)",02/01/2017
155568,WILLIAMSPORT NURSING AND REHABILITATION,IN,5,,4,,5,,2,,2,,"200 SHORT ST
WILLIAMSPORT, IN 47993
(40.297154, -87.300542)",02/01/2017
155699,BRIDGEWATER REHABILITATION CENTRE,IN,3,,3,,1,,5,,5,,"715 N MILL ST
HARTFORD CITY, IN 47348
(40.456739, -85.360609)",02/01/2017
175250,WELLSVILLE MANOR,KS,2,,2,,4,,3,,2,,"304 W 7TH ST
WELLSVILLE, KS 66092
(38.716794, -95.084996)",02/01/2017
175116,SUMNER REGIONAL MEDICAL CENTER SNF,KS,3,,3,,3,,,Data Not Available,,Data Not Available,"1323 N A ST
WELLINGTON, KS 67152
(37.277815, -97.394251)",02/01/2017
175410,"CATHOLIC CARE CENTER, INC",KS,2,,1,,4,,4,,3,,"6700 E 45TH STREET NORTH
BEL AIRE, KS 67226
(37.766825, -97.258846)",02/01/2017
165488,TWILIGHT ACRES,IA,4,,3,,4,,4,,4,,"600 WEST 6TH STREET
WALL LAKE, IA 51466
(42.275488, -95.096471)",02/01/2017
175254,DIVERSICARE OF SEDGWICK,KS,3,,2,,5,,3,,3,,"712 N MONROE AVENUE
SEDGWICK, KS 67135
(37.920175, -97.430225)",02/01/2017
165165,NORTHCREST SPECIALTY CARE,IA,3,,3,,3,,3,,3,,"2001 HEATH STREET
WATERLOO, IA 50703
(42.531495, -92.337889)",02/01/2017
165572,BURLINGTON CARE CENTER,IA,3,,2,,4,,5,,5,,"2610 SOUTH FIFTH STREET
BURLINGTON, IA 52601
(40.778472, -91.103519)",02/01/2017
165301,GREAT RIVER CARE CENTER,IA,5,,5,,3,,3,,4,,"1400 WEST MAIN
MC GREGOR, IA 52157
(43.019533, -91.192794)",02/01/2017
165339,DUMONT WELLNESS CENTER,IA,5,,5,,5,,4,,5,,"921 THIRD STREET
DUMONT, IA 50625
(42.751079, -92.976805)",02/01/2017
15E064,BROOKSIDE HAVEN HEALTH CARE CENTER,IN,1,,1,,2,,1,,1,,"505 N GAVIN ST
MUNCIE, IN 47303
(40.198018, -85.363021)",02/01/2017
175070,MEDICALODGES PITTSBURG,KS,5,,4,,5,,5,,5,,"2520 S ROUSE ST
PITTSBURG, KS 66762
(37.381078, -94.686699)",02/01/2017
155747,ADAMS WOODCREST,IN,4,,3,,5,,3,,4,,"1300 MERCER AVE
DECATUR, IN 46733
(40.815026, -84.9068)",02/01/2017
165293,SOUTHERN HILLS SPECIALITY CARE,IA,1,,2,,1,,2,,4,,"444 NORTH WEST VIEW DRIVE
OSCEOLA, IA 50213
(41.038848, -93.785889)",02/01/2017
175275,MEDICALODGES KINSLEY,KS,2,,1,,5,,5,,5,,"620 WINCHESTER AVE
KINSLEY, KS 67547
(37.921809, -99.423282)",02/01/2017
165612,TRINITY CENTER AT LUTHER PARK,IA,1,,1,,1,,4,,4,,"1555 HULL AVENUE
DES MOINES, IA 50316
(41.622272, -93.596236)",02/01/2017
165466,RISEN SON CHRISTIAN VILLAGE,IA,2,,1,,4,,5,,5,,"3000 RISEN SON BOULEVARD
COUNCIL BLUFFS, IA 51503
(41.231455, -95.801369)",02/01/2017
155664,KINDRED TRANSITIONAL CARE AND REHAB- EAGLE CREEK,IN,2,,2,,4,,3,,4,,"4102 SHORE DR
INDIANAPOLIS, IN 46254
(39.828984, -86.27992)",02/01/2017
165604,KEYSTONE NURSING CARE CENTER INC,IA,5,,5,,3,,3,,3,,"250 FIFTH STREET
KEYSTONE, IA 52249
(42.003636, -92.198424)",02/01/2017
155787,INDIANA VETERANS HOME,IN,5,,5,,3,,5,,5,,"3851 N RIVER RD
WEST LAFAYETTE, IN 47906
(40.468242, -86.886748)",02/01/2017
175244,MEMORIAL HOSPITAL LTCU (VILLAGE MANOR),KS,2,,1,,4,,4,,4,,"705 N BRADY ST
ABILENE, KS 67410
(38.922145, -97.204623)",02/01/2017
165318,COLONIAL MANOR OF AMANA,IA,5,,5,,5,,4,,4,,"3207 220TH TRAIL
AMANA, IA 52203
(41.799059, -91.894713)",02/01/2017
165403,HAWKEYE CARE CENTER SIOUX RAPIDS,IA,5,,4,,5,,4,,5,,"702 BLAKE STREET
SIOUX RAPIDS, IA 50585
(42.894316, -95.143856)",02/01/2017
175323,VILLAGE VILLA,KS,4,,3,,2,,4,,4,,"346 NORTONVILLE
KS 66060
(39.414457, -95.33406)",02/01/2017
155712,COVERED BRIDGE HEALTH CAMPUS,IN,4,,2,,5,,4,,5,,"1675 W TIPTON ST
SEYMOUR, IN 47274
(38.946408, -85.918849)",02/01/2017
165428,CAREAGE HILLS REHABILITATION AND HEALTHCARE,IA,4,,3,,4,,4,,4,,"725 NORTH SECOND STREET
CHEROKEE, IA 51012
(42.756366, -95.551571)",02/01/2017
155576,MILLER'S MERRY MANOR,IN,4,,3,,5,,2,,4,,"0548 S 100 W
HARTFORD CITY, IN 47348
(40.442431, -85.389109)",02/01/2017
155561,GOOD SAMARITAN HOME & REHABILITATIVE CENTER,IN,3,,2,,3,,4,,4,,"231 N JACKSON ST
OAKLAND CITY, IN 47660
(38.339148, -87.342523)",02/01/2017
155549,WILLOWBEND LIVING CENTER,IN,2,,2,,1,,4,,4,,"7524 E JACKSON ST
MUNCIE, IN 47302
(40.193313, -85.299604)",02/01/2017
155676,MILNER COMMUNITY HEALTH CARE,IN,5,,5,,4,,3,,3,,"370 E MAIN ST
ROSSVILLE, IN 46065
(40.416956, -86.585681)",02/01/2017
155611,HOOSIER CHRISTIAN VILLAGE,IN,5,,4,,5,,4,,4,,"621 S SUGAR ST
BROWNSTOWN, IN 47220
(38.87213, -86.043536)",02/01/2017
175176,INDIAN CREEK HEALTHCARE CENTER,KS,3,,2,,5,,2,,3,,"6515 W 103RD STREET
OVERLAND PARK, KS 66212
(38.942075, -94.662534)",02/01/2017
165421,"ACCURA HEALTHCARE OF NEWTON EAST, LLC",IA,5,,3,,5,,4,,4,,"1743 SOUTH EIGHTH AVENUE EAST
NEWTON, IA 50208
(41.692752, -93.031235)",02/01/2017
165213,GOOD SAMARITAN SOCIETY - FOREST CITY,IA,4,,3,,5,,2,,1,,"606 SOUTH SEVENTH STREET
FOREST CITY, IA 50436
(43.258084, -93.641288)",02/01/2017
175497,RIVERVIEW ESTATES,KS,5,,4,,2,,5,,5,,"202 S WASHINGTON ST
MARQUETTE, KS 67464
(38.55435, -97.833781)",02/01/2017
155596,LAKELAND SKILLED NURSING AND REHABILITATION,IN,5,,5,,5,,3,,3,,"500 N WILLIAMS ST
ANGOLA, IN 46703
(41.639548, -84.994597)",02/01/2017
155812,WELLBROOKE OF CRAWFORDSVILLE,IN,4,,4,,4,,4,,3,,"517 CONCORD ROAD
CRAWFORDSVILLE, IN 47933
(40.06845, -86.903214)",02/01/2017
155774,MILLER'S MERRY MANOR,IN,5,,5,,4,,5,,5,,"1101 MICHIGAN AVE
LOGANSPORT, IN 46947
(40.762465, -86.361246)",02/01/2017
165504,ALGONA MANOR CARE CENTER,IA,4,,4,,3,,4,,5,,"2221 EAST MCGREGOR STREET
ALGONA, IA 50511
(43.066653, -94.209484)",02/01/2017
155605,GRANDVIEW HEALTH & REHABILITATION CENTER,IN,3,,4,,1,,3,,3,,"1959 E COLUMBUS ST
MARTINSVILLE, IN 46151
(39.424894, -86.404533)",02/01/2017
175534,"CARITAS CENTER, INC",KS,5,,5,,4,,5,,5,,"1400 S SHERIDEN ST
WICHITA, KS 67213
(37.668869, -97.380191)",02/01/2017
165445,LAKE PARK CARE CENTER,IA,4,,2,,5,,4,,4,,"1304 SOUTH MARKET
LAKE PARK, IA 51347
(43.44072, -95.324208)",02/01/2017
155776,SPRINGHILL VILLAGE,IN,5,,4,,5,,4,,4,,"1001 E SPRINGHILL DR
TERRE HAUTE, IN 47802
(39.412387, -87.402121)",02/01/2017
165501,COMMUNITY CARE CENTER,IA,4,,2,,5,,4,,4,,"325 SOUTHWEST SEVENTH STREET
STUART, IA 50250
(41.496658, -94.322424)",02/01/2017
175515,TREGO MANOR,KS,1,,1,,1,,3,,2,,"320 SOUTH AVE
WAKEENEY, KS 67672
(39.015568, -99.885455)",02/01/2017
165163,ON WITH LIFE,IA,5,,5,,5,,5,,5,,"715 SW ANKENY ROAD
ANKENY, IA 50023
(41.699114, -93.609376)",02/01/2017
155695,RIVERSIDE VILLAGE,IN,4,,3,,5,,3,,4,,"1400 W FRANKLIN ST
ELKHART, IN 46516
(41.677312, -85.988655)",02/01/2017
155810,VERNON HEALTH & REHABILITATION,IN,2,,1,,5,,2,,3,,"1955 S VERNON ST
WABASH, IN 46992
(40.778459, -85.82917)",02/01/2017
16F001,DAVIS CENTER,IA,4,,3,,3,,5,,5,,"22425 OVERLAND AVENUE
BLOOMFIELD, IA 52537
(40.716716, -92.356443)",02/01/2017
155740,TIMBERCREST CHURCH OF THE BRETHREN HOME,IN,5,,4,,5,,4,,4,,"2201 EAST ST
NORTH MANCHESTER, IN 46962
(41.022376, -85.76077)",02/01/2017
165371,MANILLA MANOR,IA,5,,4,,5,,2,,1,,"146 N 5TH ST
MANILLA, IA 51454
(41.893181, -95.232062)",02/01/2017
165342,WILLOW DALE WELLNESS VILLAGE,IA,5,,4,,5,,4,,4,,"404 FIRST STREET
BATTLE CREEK, IA 51006
(42.316536, -95.596731)",02/01/2017
175379,MENNONITE FRIENDSHIP COMMUNITIES INC,KS,3,,2,,3,,5,,5,,"600 W BLANCHARD AVE
SOUTH HUTCHINSON, KS 67505
(38.027932, -97.953043)",02/01/2017
165298,PINNACLE SPECIALTY CARE,IA,4,,3,,5,,3,,4,,"1223 PRAIRIE ROAD
CEDAR FALLS, IA 50613
(42.660847, -91.913594)",02/01/2017
165233,REGENCY PARK NURSING & REHAB CENTER OF JEFFERSON,IA,1,,1,,3,,1,,2,,"100 RAM ROAD
JEFFERSON, IA 50129
(42.002693, -94.374328)",02/01/2017
155828,"HERITAGE OF FORT WAYNE, THE",IN,5,,4,,5,,5,,5,,"5250 HERITAGE PARKWAY
FORT WAYNE, IN 46835
(41.160161, -85.07035)",02/01/2017
175537,HAYS MEDICAL CENTER LTCU,KS,4,,3,,2,,5,,5,,"2220 SW CANTERBURY DRIVE
HAYS, KS 67601
(38.879604, -99.299273)",02/01/2017
165562,MONROE CARE CENTER,IA,4,,4,,4,,4,,5,,"120 NORTH THIRTEENTH STREET
ALBIA, IA 52531
(41.033359, -92.792091)",02/01/2017
155789,RIDGEWOOD HEALTH CAMPUS,IN,1,,1,,1,,3,,5,,"181 CAMPUS DR
LAWRENCEBURG, IN 47025
(39.114669, -84.88574)",02/01/2017
155836,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,IN,5,,4,,5,,5,,5,,"1925 REEVES ROAD
PLAINFIELD, IN 46168
(39.682183, -86.37389)",02/01/2017
155508,TRANSCENDENT HEALTHCARE OF BOONVILLE,IN,2,,1,,2,,4,,3,,"725 S SECOND ST
BOONVILLE, IN 47601
(38.043178, -87.276735)",02/01/2017
155654,ENGLEWOOD HEALTH & REHABILITATION CENTER,IN,5,,3,,5,,4,,4,,"2237 ENGLE RD
FORT WAYNE, IN 46809
(41.045757, -85.169308)",02/01/2017
175490,LEGACY AT HERINGTON,KS,1,,1,,1,,4,,5,,"2 E ASH STREET
HERINGTON, KS 67449
(38.678564, -96.943033)",02/01/2017
155551,ROLLING MEADOWS HEALTH CARE CENTER,IN,5,,3,,5,,5,,5,,"604 RENNAKER ST
LA FONTAINE, IN 46940
(40.679408, -85.724404)",02/01/2017
165193,DUNLAP SPECIALTY CARE,IA,3,,4,,3,,1,,2,,"1403 HARRISON ROAD
DUNLAP, IA 51529
(41.848882, -95.590412)",02/01/2017
165610,PRAIRIE VISTA VILLAGE,IA,5,,4,,4,,5,,5,,"2785 1ST AVENUE S
ALTOONA, IA 50009
(41.624391, -93.464659)",02/01/2017
155753,HAMPTON OAKS HEALTH CAMPUS,IN,5,,4,,5,,5,,5,,"966 N WILSON RD
SCOTTSBURG, IN 47170
(38.706136, -85.799183)",02/01/2017
155793,HAMILTON TRACE OF FISHERS,IN,3,,2,,2,,4,,4,,"11851 CUMBERLAND RD
FISHERS, IN 46037
(39.960531, -85.994149)",02/01/2017
175310,CLAY CENTER PRESBYTERIAN MANOR,KS,2,,1,,5,,5,,5,,"924 8TH STREET
CLAY CENTER, KS 67432
(39.378525, -97.120777)",02/01/2017
155573,MILLER'S MERRY MANOR,IN,5,,4,,5,,3,,5,,"981 BEECHWOOD AVE
MIDDLETOWN, IN 47356
(40.06254, -85.540946)",02/01/2017
165374,MILL VALLEY CARE CENTER,IA,4,,3,,5,,3,,4,,"1201 PARK STREET
BELLEVUE, IA 52031
(42.257464, -90.436515)",02/01/2017
175249,HERITAGE HEALTH CARE CENTER,KS,3,,3,,2,,3,,3,,"1630 W 2ND STREET
CHANUTE, KS 66720
(37.679345, -95.473522)",02/01/2017
155683,B & B CHRISTIAN HEALTHCARE CENTER,IN,2,,1,,5,,5,,5,,"3208 N SHERMAN DR
INDIANAPOLIS, IN 46218
(39.814849, -86.102623)",02/01/2017
165503,GOOD NEIGHBOR HOME,IA,5,,5,,5,,4,,4,,"105 MCCARREN DRIVE
MANCHESTER, IA 52057
(42.485824, -91.439905)",02/01/2017
175078,LEGACY AT COLLEGE HILL,KS,2,,1,,2,,4,,3,,"5005 E 21ST STREET NORTH
WICHITA, KS 67208
(37.722956, -97.278314)",02/01/2017
155693,SILVER OAKS HEALTH CAMPUS,IN,3,,2,,3,,5,,5,,"2011 CHAPA STREET
COLUMBUS, IN 47203
(39.24596, -85.90399)",02/01/2017
165423,"ACCURA HEALTHCARE OF AMES, LLC",IA,2,,1,,5,,4,,5,,"3440 GRAND AVENUE
AMES, IA 50010
(42.055179, -93.620556)",02/01/2017
155673,MARKLE HEALTH & REHABILITATION,IN,4,,4,,4,,3,,4,,"170 N TRACY ST
MARKLE, IN 46770
(40.82606, -85.327744)",02/01/2017
175466,"LAKEPOINT WICHITA, LLC",KS,5,,4,,5,,4,,4,,"1315 N WEST STREET
WICHITA, KS 67203
(37.707321, -97.389663)",02/01/2017
175343,CLARIDGE COURT,KS,5,,4,,4,,5,,5,,"8101 MISSION ROAD
PRAIRIE VILLAGE, KS 66208
(38.981743, -94.630278)",02/01/2017
165199,CRESTON SPECIALTY CARE,IA,4,,4,,3,,2,,3,,"1001 COTTONWOOD DRIVE
CRESTON, IA 50801
(41.068338, -94.385299)",02/01/2017
175475,ENTERPRISE ESTATES NURSING CENTER,KS,3,,2,,2,,4,,4,,"602 CRESTVIEW DRIVE
ENTERPRISE, KS 67441
(38.898002, -97.111621)",02/01/2017
155834,GOLDEN LIVING CENTER - WILLOW SPRINGS,IN,3,,2,,3,,5,,5,,"2002 WEST 86TH STREET
INDIANAPOLIS, IN 46260
(39.912105, -86.196235)",02/01/2017
155803,HAMILTON POINTE HEALTH AND REHAB,IN,2,,1,,3,,5,,5,,"3800 ELI PLACE
NEWBURGH, IN 47630
(37.979513, -87.447266)",02/01/2017
175531,ATCHISON SENIOR VILLAGE,KS,3,,2,,4,,4,,3,,"1419 N 6TH STREET
ATCHISON, KS 66002
(39.579436, -95.120375)",02/01/2017
155521,ALEXANDRIA CARE CENTER,IN,2,,1,,2,,4,,4,,"1912 S PARK AVE
ALEXANDRIA, IN 46001
(40.242702, -85.670549)",02/01/2017
165204,KEOSAUQUA HEALTH CARE CENTER,IA,2,,2,,2,,2,,3,,"819 COUNTRY LANE ROAD
KEOSAUQUA, IA 52565
(40.733262, -91.968519)",02/01/2017
165303,ABCM REHAB CENTERS OF INDEPENDENCE WEST CAMPUS,IA,5,,4,,4,,5,,5,,"1610 THIRD STREET NE
INDEPENDENCE, IA 50644
(42.471316, -91.87611)",02/01/2017
165205,GOOD SAMARITAN SOCIETY - LEMARS,IA,1,,1,,3,,3,,3,,"1140 LINCOLN STREET NE
LE MARS, IA 51031
(42.801115, -96.147428)",02/01/2017
175208,"PITTSBURG CARE & REHABILITATION CENTER, LLC",KS,1,,1,,1,,4,,4,,"1005 E CENTENNIAL DRIVE
PITTSBURG, KS 66762
(37.381788, -94.688739)",02/01/2017
165510,DAVENPORT LUTHERAN HOME,IA,4,,3,,2,,4,,3,,"1130 W 53RD STREET
DAVENPORT, IA 52806
(41.574527, -90.588459)",02/01/2017
175402,BETHEL HEALTH CARE CENTRE,KS,5,,5,,3,,4,,3,,"3000 IVY DR
NORTH NEWTON, KS 67117
(38.078146, -97.348483)",02/01/2017
165219,LAURENS CARE CENTER,IA,3,,2,,3,,4,,5,,"304 EAST VETERANS ROAD
LAURENS, IA 50554
(42.842637, -94.845553)",02/01/2017
155705,HERITAGE POINTE,IN,4,,3,,5,,3,,4,,"801 N HUNTINGTON AVE
WARREN, IN 46792
(40.687751, -85.427461)",02/01/2017
165320,"ZEARING HEALTH CARE, LLC",IA,1,,1,,1,,3,,3,,"404 EAST GARFIELD ST
ZEARING, IA 50278
(42.162013, -93.291788)",02/01/2017
175484,SALEM HOME,KS,5,,4,,2,,5,,5,,"704 S ASH
HILLSBORO, KS 67063
(38.344326, -97.206025)",02/01/2017
175243,MEDICALODGES GARDNER,KS,2,,1,,5,,3,,3,,"223 BEDFORD STREET
GARDNER, KS 66030
(38.808269, -94.940822)",02/01/2017
165358,THOMAS REST HAVEN,IA,5,,4,,5,,5,,5,,"217 MAIN STREET
COON RAPIDS, IA 50058
(41.870884, -94.674127)",02/01/2017
155835,SYMPHONY OF CROWN POINT  LLC,IN,2,,2,,1,,4,,4,,"1555 S MAIN STREET
CROWN POINT, IN 46307
(41.387607, -87.364148)",02/01/2017
165337,ABCM REHAB CENTERS OF INDEPENDENCE EAST CAMPUS,IA,3,,4,,1,,4,,4,,"1700 THIRD STREET NE
INDEPENDENCE, IA 50644
(42.471447, -91.874543)",02/01/2017
175229,"PARKWAY CARE & REHABILITATION CENTER, LLC",KS,3,,3,,5,,1,,2,,"749 BLAKE STREET
EDWARDSVILLE, KS 66111
(39.056902, -94.818341)",02/01/2017
165365,OAKWOOD CARE CENTER,IA,2,,2,,3,,3,,3,,"400 HIGHWAY
CLEAR LAKE, IA 50428
(43.142767, -93.392054)",02/01/2017
175263,GOOD SAMARITAN SOCIETY - OLATHE,KS,4,,3,,2,,4,,4,,"20705 W 151ST STREET
OLATHE, KS 66061
(38.854533, -94.825244)",02/01/2017
165535,SUNSET KNOLL CARE AND REHAB CENTER,IA,1,,1,,4,,,Data Not Available,,Data Not Available,"401 WEST FIFTH STREET
AURELIA, IA 51005
(42.715613, -95.440405)",02/01/2017
175313,MEDICALODGES ARKANSAS CITY,KS,4,,4,,4,,4,,5,,"203 E OSAGE AVENUE
ARKANSAS CITY, KS 67005
(37.08173, -97.036843)",02/01/2017
155674,ST CHARLES HEALTH CAMPUS,IN,3,,2,,5,,3,,4,,"3150 ST CHARLES ST
JASPER, IN 47546
(38.415575, -86.9471)",02/01/2017
155593,INDIANA MASONIC HOME HEALTH CENTER,IN,5,,4,,4,,5,,5,,"690 S STATE ST
FRANKLIN, IN 46131
(39.472758, -86.044534)",02/01/2017
165545,WINDMILL MANOR,IA,2,,2,,3,,2,,2,,"2332 LIBERTY DRIVE
CORALVILLE, IA 52241
(41.699001, -91.620778)",02/01/2017
175543,"VIA CHRISTI VILLAGE MCLEAN, INC",KS,4,,3,,3,,4,,4,,"777 N MCLEAN BLVD
WICHITA, KS 67203
(37.696446, -97.371537)",02/01/2017
155729,ADAMS HERITAGE,IN,4,,3,,5,,3,,3,,"12011 WHITTERN RD
MONROEVILLE, IN 46773
(40.977579, -84.882098)",02/01/2017
155762,FOREST PARK HEALTH CAMPUS,IN,3,,3,,2,,3,,3,,"2401 S L ST
RICHMOND, IN 47374
(39.814252, -84.86969)",02/01/2017
175274,MERIDIAN REHABILITATION AND HEALTH CARE CENTER,KS,2,,2,,3,,3,,3,,"1555 N MERIDIAN ST
WICHITA, KS 67203
(37.711783, -97.37148)",02/01/2017
165282,VALLEY VIEW SPECIALTY CARE,IA,5,,5,,5,,3,,5,,"2313 15TH AVENUE
ELDORA, IA 50627
(42.358608, -93.113454)",02/01/2017
